Prefecture of Kyoto | resolved to nothing
Prefecture of Osaka | resolved to nothing
Prefecture of Okinawa | resolved to nothing
Ust-Kamenogorsk | resolved to nothing
Aral Sea | resolved to nothing
Lake Balkhash | resolved to nothing
Gulf of Mexico | resolved to Point
Gulf of California | resolved to Point
Gulf of Alaska | resolved to Point
Gulf of St. Lawrence | resolved to nothing
Hudson Bay | resolved to Point
St. Lawrence River | resolved to nothing
Chihuahuan Desert | resolved to nothing
Great Victoria Desert | resolved to Point
Great Sandy Desert | resolved to Point
Karakum Desert | resolved to nothing
Kyzylkum Desert | resolved to nothing
Syrian Desert | resolved to nothing
Arabian Desert | resolved to nothing
Danakil Desert | resolved to nothing
Jura Mountains | resolved to nothing
Apennine Mountains | resolved to Point
Caucasus Mountains | resolved to Point
Mary | clause leaks neighbours
